frame,time,protein_rmsd,ligand_rmsd
9.900000000000000000e+01,1.000000002981405714e+03,4.522911999627504009e+00,4.522912004163698541e+00,1.010765779391605435e+01
1.000000000000000000e+02,1.010000003011219746e+03,4.871307655247924195e+00,4.871307636492374193e+00,1.051064153450918504e+01
1.010000000000000000e+02,1.020000003041033779e+03,4.875082491858585776e+00,4.875082456419358223e+00,1.040276178805694762e+01
1.020000000000000000e+02,1.030000003070847924e+03,4.656178780336074574e+00,4.656178787825822951e+00,1.013301682632891421e+01
1.030000000000000000e+02,1.040000003100661843e+03,4.313818066242663285e+00,4.313818025412612833e+00,9.998046281312349848e+00
1.040000000000000000e+02,1.050000003130475989e+03,4.095780568192528115e+00,4.095780508297711897e+00,1.029660576175841769e+01
1.050000000000000000e+02,1.060000003160290134e+03,4.267010975153108454e+00,4.267010909701205001e+00,1.039368978339631866e+01
1.060000000000000000e+02,1.070000003190104053e+03,4.146044933861347204e+00,4.146044940998661055e+00,1.081695702130265246e+01
1.070000000000000000e+02,1.080000003219918199e+03,4.279763709122888393e+00,4.279763682854375695e+00,1.058443689254222519e+01
1.080000000000000000e+02,1.090000003249732117e+03,4.553966211180177304e+00,4.553966325427899697e+00,9.906995986693761580e+00
1.090000000000000000e+02,1.100000003279546263e+03,4.460489015426650994e+00,4.460489074211079874e+00,9.944387541621363624e+00
1.100000000000000000e+02,1.110000003309360409e+03,4.780280520079371875e+00,4.780280595542407696e+00,9.813853499047837659e+00
1.110000000000000000e+02,1.120000003339174327e+03,4.870951531470101514e+00,4.870951501083845336e+00,1.044904031519355847e+01
1.120000000000000000e+02,1.130000003368988473e+03,5.156270914493528146e+00,5.156270869159726544e+00,1.013681820057654015e+01
1.130000000000000000e+02,1.140000003398802392e+03,5.055598853561109607e+00,5.055598830403206456e+00,9.848641042910109888e+00
1.140000000000000000e+02,1.150000003428616537e+03,4.764091392383019929e+00,4.764091342189653133e+00,1.030209738833569411e+01
1.150000000000000000e+02,1.160000003458430683e+03,4.798913793439082198e+00,4.798913744645647128e+00,1.085175058455502750e+01
1.160000000000000000e+02,1.170000003488244602e+03,5.001922609026995481e+00,5.001922513308595164e+00,1.032257425961579678e+01
1.170000000000000000e+02,1.180000003518058747e+03,5.202968389746461142e+00,5.202968292070372591e+00,1.104291273743790036e+01
1.180000000000000000e+02,1.190000003547872893e+03,4.946143436565016316e+00,4.946143405000579918e+00,1.037237482747076633e+01
1.190000000000000000e+02,1.200000003577686812e+03,5.013060595961233545e+00,5.013060517683594952e+00,1.026270826392283553e+01
1.200000000000000000e+02,1.210000003607500958e+03,4.660344151083587683e+00,4.660344183785043448e+00,1.060097410498605441e+01
1.210000000000000000e+02,1.220000003637314876e+03,4.665214620497715181e+00,4.665214547675138768e+00,1.064971781016853036e+01
1.220000000000000000e+02,1.230000003667129022e+03,4.657253004302956079e+00,4.657253007503096676e+00,1.015532630681352089e+01
1.230000000000000000e+02,1.240000003696943168e+03,4.969569912068067197e+00,4.969569880543868834e+00,1.043596473394777746e+01
1.240000000000000000e+02,1.250000003726757086e+03,5.156847097436678240e+00,5.156847043280636811e+00,1.086028536338687189e+01
1.250000000000000000e+02,1.260000003756571232e+03,5.367298633298765331e+00,5.367298675345148595e+00,9.977132517062930361e+00
1.260000000000000000e+02,1.270000003786385150e+03,5.466820771504607990e+00,5.466820792612630875e+00,1.089658273297919422e+01
1.270000000000000000e+02,1.280000003816199296e+03,5.226803204208451348e+00,5.226803191935792903e+00,1.200871365522309908e+01
1.280000000000000000e+02,1.290000003846013442e+03,5.166560647552489449e+00,5.166560650862285442e+00,1.140118030294539508e+01
1.290000000000000000e+02,1.300000003875827360e+03,5.126045779122795132e+00,5.126045739778128052e+00,1.114663877962147254e+01
1.300000000000000000e+02,1.310000003905641506e+03,4.818889893348655029e+00,4.818889851742965469e+00,1.182832840411913722e+01
1.310000000000000000e+02,1.320000003935455425e+03,5.114989402214457748e+00,5.114989352025460789e+00,1.134270885267288875e+01
1.320000000000000000e+02,1.330000003965269570e+03,5.037268722638405194e+00,5.037268691054696212e+00,1.141101433884435146e+01
1.330000000000000000e+02,1.340000003995083716e+03,5.137672631708290361e+00,5.137672583825534822e+00,1.095878290983171333e+01
1.340000000000000000e+02,1.350000004024897635e+03,5.190913659858281903e+00,5.190913686062613053e+00,1.195330679513149796e+01
1.350000000000000000e+02,1.360000004054711781e+03,5.209785358376112896e+00,5.209785395382199980e+00,1.153880109526550690e+01
1.360000000000000000e+02,1.370000004084525699e+03,5.103366440162573348e+00,5.103366460030870577e+00,1.133347142787973283e+01
1.370000000000000000e+02,1.380000004114339845e+03,5.381160269771713800e+00,5.381160256552621313e+00,1.170738575146620519e+01
1.380000000000000000e+02,1.390000004144153991e+03,5.401264767780331155e+00,5.401264753834965404e+00,1.125394980643225118e+01
1.390000000000000000e+02,1.400000004173967909e+03,5.662439395717457913e+00,5.662439355188596757e+00,1.130271548165876538e+01
1.400000000000000000e+02,1.410000004203782055e+03,5.292854302130460376e+00,5.292854227384347965e+00,1.166642747669243008e+01
1.410000000000000000e+02,1.420000004233596201e+03,5.097160093537328684e+00,5.097160069532218785e+00,1.147666877054466994e+01
1.420000000000000000e+02,1.430000004263410119e+03,5.039539694620433607e+00,5.039539552532859013e+00,1.147172533561534280e+01
1.430000000000000000e+02,1.440000004293224265e+03,5.060253352610753375e+00,5.060253305586627448e+00,1.158775002022858303e+01
1.440000000000000000e+02,1.450000004323038183e+03,5.132195547840830763e+00,5.132195499629455426e+00,1.098697773304676240e+01
1.450000000000000000e+02,1.460000004352852329e+03,4.703041576654215739e+00,4.703041476250499286e+00,1.071635784878955278e+01
1.460000000000000000e+02,1.470000004382666475e+03,4.368334315279703617e+00,4.368334213947797195e+00,1.067280932904053259e+01
1.470000000000000000e+02,1.480000004412480394e+03,4.409074228452374733e+00,4.409074243316929653e+00,1.120508414858048241e+01
1.480000000000000000e+02,1.490000004442294539e+03,4.688831058210356062e+00,4.688831099114153744e+00,1.191982446040763577e+01
1.490000000000000000e+02,1.500000004472108458e+03,4.890747573679002258e+00,4.890747462601855666e+00,1.174681240233669044e+01
1.500000000000000000e+02,1.510000004501922604e+03,5.017542100179658959e+00,5.017542127279984499e+00,1.133525340243875945e+01
1.510000000000000000e+02,1.520000004531736749e+03,4.878228244782469858e+00,4.878228315407020510e+00,1.066154076288250785e+01
1.520000000000000000e+02,1.530000004561550668e+03,4.886006222973064084e+00,4.886006133592751155e+00,1.221244182041894177e+01
1.530000000000000000e+02,1.540000004591364814e+03,4.811134379360228586e+00,4.811134377092302294e+00,1.086210717976300977e+01
1.540000000000000000e+02,1.550000004621178732e+03,4.872183264846928097e+00,4.872183205405715256e+00,1.054469080347118570e+01
1.550000000000000000e+02,1.560000004650992878e+03,4.776457637074501328e+00,4.776457566637485996e+00,1.103071596571128410e+01
1.560000000000000000e+02,1.570000004680807024e+03,4.910069782666790061e+00,4.910069769521034466e+00,1.129900714452240429e+01
1.570000000000000000e+02,1.580000004710620942e+03,4.964126541647766899e+00,4.964126507368975538e+00,1.168239535343974289e+01
1.580000000000000000e+02,1.590000004740435088e+03,4.877412419321380810e+00,4.877412405806469842e+00,1.144156191866678718e+01
1.590000000000000000e+02,1.600000004770249234e+03,4.452767264089183108e+00,4.452767299830872716e+00,1.110586365740453374e+01
1.600000000000000000e+02,1.610000004800063152e+03,4.397520700103236813e+00,4.397520654116425121e+00,1.111884972726821630e+01
1.610000000000000000e+02,1.620000004829877298e+03,4.246089865485934034e+00,4.246089836325695366e+00,1.094614353453032862e+01
1.620000000000000000e+02,1.630000004859691217e+03,4.654136817867159159e+00,4.654136805381453357e+00,1.001918094692277350e+01
1.630000000000000000e+02,1.640000004889505362e+03,4.612703794765015353e+00,4.612703783527575929e+00,1.004634559492672352e+01
1.640000000000000000e+02,1.650000004919319508e+03,4.482055757131313101e+00,4.482055736249045630e+00,9.892518896509786330e+00
1.650000000000000000e+02,1.660000004949133427e+03,4.599508956405785831e+00,4.599508977769007245e+00,9.826851401590984025e+00
1.660000000000000000e+02,1.670000004978947572e+03,4.441084906132350518e+00,4.441084868916576056e+00,9.630885629118214553e+00
1.670000000000000000e+02,1.680000005008761491e+03,4.565995823178089275e+00,4.565995765689858210e+00,1.009739107735770780e+01
1.680000000000000000e+02,1.690000005038575637e+03,4.832743929149258655e+00,4.832743890226430139e+00,9.898871170418431120e+00
1.690000000000000000e+02,1.700000005068389783e+03,4.813433562741981753e+00,4.813433527745251794e+00,1.005620510911469268e+01
1.700000000000000000e+02,1.710000005098203701e+03,4.722607487434724582e+00,4.722607512032755750e+00,9.684035416319169087e+00
1.710000000000000000e+02,1.720000005128017847e+03,4.531509402768540085e+00,4.531509394362723597e+00,1.077116442811829522e+01
1.720000000000000000e+02,1.730000005157831765e+03,4.318825706310970958e+00,4.318825794993551348e+00,1.131538902374218658e+01
1.730000000000000000e+02,1.740000005187645911e+03,4.431932159758163792e+00,4.431932211763897733e+00,1.044193137074183042e+01
1.740000000000000000e+02,1.750000005217460057e+03,4.251780510864280771e+00,4.251780417776154231e+00,1.115521213993670990e+01
1.750000000000000000e+02,1.760000005247273975e+03,4.203553661256853147e+00,4.203553645827567742e+00,1.133690913434062253e+01
1.760000000000000000e+02,1.770000005277088121e+03,3.572256330032686833e+00,3.572256272906726871e+00,1.142065973646799470e+01
1.770000000000000000e+02,1.780000005306902040e+03,3.943385212809318752e+00,3.943385204997233995e+00,1.121945432392301178e+01
1.780000000000000000e+02,1.790000005336716185e+03,3.973237274837443600e+00,3.973237309842299947e+00,1.140195158883169846e+01
1.790000000000000000e+02,1.800000005366530331e+03,3.874798701647083732e+00,3.874798743173542448e+00,1.189939498407246177e+01
1.800000000000000000e+02,1.810000005396344250e+03,3.959791651751144226e+00,3.959791642821949065e+00,1.102230046241851369e+01
1.810000000000000000e+02,1.820000005426158395e+03,4.303100964210871737e+00,4.303100972320864415e+00,1.123243157868378717e+01
1.820000000000000000e+02,1.830000005455972541e+03,4.266383402272991177e+00,4.266383377063117877e+00,1.110681996366535884e+01
1.830000000000000000e+02,1.840000005485786460e+03,4.441460740102788129e+00,4.441460753981054665e+00,1.149714418969613838e+01
1.840000000000000000e+02,1.850000005515600606e+03,4.347815025480752382e+00,4.347814999002693526e+00,1.171705194214556300e+01
1.850000000000000000e+02,1.860000005545414524e+03,4.309965372862905042e+00,4.309965383299302566e+00,1.194469672670780014e+01
1.860000000000000000e+02,1.870000005575228670e+03,4.586908223439383647e+00,4.586908197144352606e+00,1.112007199692910753e+01
1.870000000000000000e+02,1.880000005605042816e+03,4.555689038949402025e+00,4.555689007641209542e+00,1.127333591921296296e+01
1.880000000000000000e+02,1.890000005634856734e+03,4.218474821854010237e+00,4.218474847471582301e+00,1.057605082851745593e+01
1.890000000000000000e+02,1.900000005664670880e+03,4.315905107594758761e+00,4.315905022004619340e+00,1.060632947480964638e+01
1.900000000000000000e+02,1.910000005694484798e+03,4.327048140792526532e+00,4.327048134263772106e+00,1.066006485613207921e+01
1.910000000000000000e+02,1.920000005724298944e+03,4.674830619969394085e+00,4.674830613945085034e+00,1.164702151612594072e+01
1.920000000000000000e+02,1.930000005754113090e+03,4.541256767523216276e+00,4.541256785213608538e+00,1.135017788495531299e+01
1.930000000000000000e+02,1.940000005783927008e+03,4.757246240689811501e+00,4.757246200011318926e+00,1.132353182542764358e+01
1.940000000000000000e+02,1.950000005813741154e+03,4.697729989600586187e+00,4.697729994402868314e+00,1.073140674897608449e+01
1.950000000000000000e+02,1.960000005843555073e+03,4.640421433568646670e+00,4.640421440874165526e+00,1.080157389663491152e+01
1.960000000000000000e+02,1.970000005873369219e+03,4.912731994636499344e+00,4.912732008923042848e+00,1.067768016573270629e+01
1.970000000000000000e+02,1.980000005903183364e+03,5.255303713695921530e+00,5.255303707720957895e+00,1.009016220541875697e+01
1.980000000000000000e+02,1.990000005932997283e+03,5.126006186362697115e+00,5.126006203251331605e+00,9.893879222504420312e+00
1.990000000000000000e+02,2.000000005962811429e+03,5.156269286710634780e+00,5.156269237836000663e+00,9.881911369876435813e+00
