frame,time,protein_rmsd,ligand_rmsd
0.000000000000000000e+00,1.000000002981405700e+01,0.000000000000000000e+00,5.261455247797159557e-07,3.055575785041677149e-07
1.000000000000000000e+00,2.000000005962811400e+01,1.200725619369188868e+00,1.200725568015959865e+00,8.457406006017582634e-01
2.000000000000000000e+00,3.000000008944217100e+01,1.251506461214791477e+00,1.251506315052682394e+00,1.460637911507583597e+00
3.000000000000000000e+00,4.000000011925622800e+01,1.286491031788022266e+00,1.286491002491229496e+00,7.862755509213903427e-01
4.000000000000000000e+00,5.000000014907028856e+01,1.411669393664356953e+00,1.411669346671177383e+00,9.625807939974098115e-01
5.000000000000000000e+00,6.000000017888434201e+01,1.524027756020497559e+00,1.524027702270072560e+00,1.207026570524268649e+00
6.000000000000000000e+00,7.000000020869839545e+01,1.500241562245985261e+00,1.500241525919301155e+00,1.269525381064572578e+00
7.000000000000000000e+00,8.000000023851245601e+01,1.615149674181183714e+00,1.615149680849194080e+00,1.121158233381798652e+00
8.000000000000000000e+00,9.000000026832651656e+01,1.804516484721004899e+00,1.804516451378995079e+00,1.037129607855587388e+00
9.000000000000000000e+00,1.000000002981405771e+02,1.642927133339655565e+00,1.642927105050175252e+00,1.514896185692412578e+00
1.000000000000000000e+01,1.100000003279546235e+02,1.627806839438979081e+00,1.627806724451101861e+00,1.962664713432763941e+00
1.100000000000000000e+01,1.200000003577686840e+02,1.757637838349795256e+00,1.757637859903170563e+00,2.043908471099352475e+00
1.200000000000000000e+01,1.300000003875827304e+02,1.536473028936022889e+00,1.536473047104314427e+00,2.000967271521359780e+00
1.300000000000000000e+01,1.400000004173967909e+02,1.662301674367691051e+00,1.662301622252732480e+00,1.282748227013329911e+00
1.400000000000000000e+01,1.500000004472108515e+02,1.488678375824968425e+00,1.488678503575201484e+00,1.211864431860213420e+00
1.500000000000000000e+01,1.600000004770249120e+02,1.567386392998264322e+00,1.567386464279155733e+00,1.510722861254774507e+00
